dem_req_rate	req_rate_www.cogster.com	con_rate_www.cogster.com	min_rep_rate_www.cogster.com	avg_rep_rate_www.cogster.com	max_rep_rate_www.cogster.com	stddev_rep_rate_www.cogster.com	resp_time_www.cogster.com	net_io_www.cogster.com	errors_www.cogster.com	req_rate_cogsterproduction.littleredbrick.net	con_rate_cogsterproduction.littleredbrick.net	min_rep_rate_cogsterproduction.littleredbrick.net	avg_rep_rate_cogsterproduction.littleredbrick.net	max_rep_rate_cogsterproduction.littleredbrick.net	stddev_rep_rate_cogsterproduction.littleredbrick.net	resp_time_cogsterproduction.littleredbrick.net	net_io_cogsterproduction.littleredbrick.net	errors_cogsterproduction.littleredbrick.net
200	37.8	18.4	0.0	20.4	58.8	13.8	2375.3	168.4	85.6782561700595	57.1	19.2	10.0	39.2	74.0	11.0	899.6	239.8	46.3615830305411
300	9.5	28.5	0.0	3.8	43.8	9.7	1921.8	33.3	704.113475177305	17.5	29.1	0.0	9.8	54.2	17.3	652.0	54.8	300.84388185654
400	1.6	38.5	0.0	0.2	4.2	0.9	1498.8	1.9	17241.3793103448	2.5	38.5	0.0	0.6	9.8	2.1	682.6	3.5	6410.25641025641
500	1.0	47.6	0.0	0.2	3.0	0.7	2398.1	1.2	33333.3333333333	2.6	47.6	0.0	0.5	6.6	1.5	950.9	2.6	11111.1111111111
600	1.3	56.6	0.0	0.2	2.2	0.6	2185.5	1.6	31250	1.4	56.6	0.0	0.2	2.0	0.5	633.3	1.0	35714.2857142857
700	1.4	65.4	0.0	0.1	2.0	0.5	2508.8	1.2	50000	3.4	65.4	0.0	0.5	7.0	1.8	1950.2	2.7	14285.7142857143
800	0.8	74.1	0.0	0.0	0.0	0.0	1682.8	0.1	101	2.2	74.1	0.0	0.3	4.4	1.2	491.9	1.9	22727.2727272727
900	1.0	82.6	0.0	0.0	0.0	0.0	2322.5	0.1	101	1.9	82.6	0.0	0.1	0.8	0.2	3010.3	0.5	125000
1000	1.0	90.9	0.0	0.0	0.0	0.0	1976.4	0.1	101	0.0	90.9	0.0	0.0	0.0	0.0	0.0	0.0	101
1100	1.4	99.1	0.0	0.0	0.0	0.0	2687.5	0.1	101	2.0	99.1	0.0	0.0	0.0	0.0	773.7	0.2	101
1200	0.0	107.2	0.0	0.0	0.0	0.0	0.0	0.0	101	4.0	107.2	0.0	0.9	8.0	2.7	1337.8	4.9	12500
1300	1.2	115.1	0.0	0.0	0.0	0.0	1862.8	0.1	101	0.0	115.1	0.0	0.0	0.0	0.0	0.0	0.0	101
1400	1.3	122.8	0.0	0.0	0.0	0.0	1555.6	0.1	101	0.0	122.8	0.0	0.0	0.0	0.0	0.0	0.0	101
1500	1.5	130.5	0.0	0.0	0.0	0.0	2235.9	0.1	101	0.0	130.5	0.0	0.0	0.0	0.0	0.0	0.0	101
1600	1.6	138.0	0.0	0.1	0.4	0.2	2229.5	0.6	250000	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	101
